joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-2.299549,-2.528208,0.349466,-0.472622,0.150358,-0.271351,-1.567554,0.374996,0.000000,3.593862,1.659903,-0.350910,-0.603587,-1.727830,-0.813972,0.230561,-0.081881,-0.000001,-0.399894,0.167708,-0.186194,-0.264812,-0.289717,0.129715,-0.099183,0.000000,-0.024960,0.000000,0.000000
-2.670705,-2.132443,0.056035,-0.494268,0.492973,-0.280253,-0.749083,-0.066678,0.000000,2.992734,1.507354,-0.402636,-0.355170,-1.857992,-0.777315,0.228960,-0.208643,-0.000003,-0.007325,0.159094,-0.217633,-0.216490,-0.195813,0.121267,-0.101063,0.000001,0.007337,0.000000,0.000000
-2.733262,-1.604616,-0.101633,-0.395517,0.512498,-0.225770,-0.152953,-0.210480,0.000000,2.458642,1.208191,-0.387257,-0.226074,-1.591626,-0.699049,0.232431,-0.299080,-0.035630,0.244056,0.159682,-0.236282,-0.162515,-0.138953,0.117536,-0.100980,0.000001,0.026836,0.000000,0.000000
-2.455968,-1.208660,-0.044703,-0.225750,0.199169,-0.135145,-0.077235,0.015493,0.000000,2.258663,0.912006,-0.312467,-0.280854,-1.061931,-0.618317,0.239240,-0.307975,-0.089070,0.228559,0.169182,-0.232817,-0.129879,-0.147569,0.120388,-0.098978,0.000000,0.023788,0.000000,0.000000
-2.357759,-1.110583,-0.045321,-0.408462,-0.218999,-0.167722,-0.051409,-0.073482,0.000000,1.937103,0.336611,-0.504922,-0.449285,-1.362601,-0.867742,0.213082,-0.310560,-0.151318,0.196683,0.148609,-0.244389,-0.276861,-0.287479,0.070165,-0.105601,-0.000001,-0.011685,-0.000000,0.000000
-2.261855,-1.282243,-0.092508,-0.576385,-0.462776,-0.189876,-0.095779,-0.231401,0.000000,1.713462,0.254217,-0.632335,-0.533918,-1.883995,-1.167468,0.209148,-0.362881,-0.321898,0.190611,0.140579,-0.267292,-0.408587,-0.395355,0.015825,-0.112396,-0.000001,-0.036106,-0.000000,0.000000
-1.991498,-1.695510,-0.175286,-0.362252,-0.252941,-0.067986,-0.230647,-0.212261,0.000000,1.807266,1.437022,-0.362425,-0.337309,-2.016483,-1.237651,0.282629,-0.520988,-0.700336,0.252527,0.187711,-0.297816,-0.330186,-0.307867,0.006330,-0.110908,0.000001,-0.005994,0.000000,0.000000
-1.882511,-3.760713,-0.122365,0.106597,-0.193576,0.259492,-0.325442,-0.561558,0.000000,1.845765,3.477645,-0.196866,-0.370646,-1.909982,-1.289547,0.315643,-0.683408,-0.994613,0.276922,0.229764,-0.325383,-0.262412,-0.227791,0.000000,-0.109393,0.000001,0.016442,-0.000000,0.000000
-1.989395,-6.445282,0.039794,0.595742,-0.314365,0.628822,-0.332769,-1.104650,0.000000,1.809710,5.355799,-0.218438,-0.617261,-1.617747,-1.297214,0.291685,-0.768936,-1.057595,0.251600,0.245711,-0.336211,-0.239155,-0.195169,-0.000001,-0.108606,-0.000001,0.019986,-0.000000,0.000000
-2.043110,-6.339204,0.168932,0.543477,-0.335760,0.396576,-0.036685,-0.847316,0.000000,2.038181,5.309665,-0.027932,-0.562958,-1.111490,-0.034427,0.540310,-0.941317,-0.780416,0.314036,0.316116,-0.366464,-0.252092,-0.155330,0.000000,-0.112985,-0.000001,0.052593,-0.000000,0.000000
-2.075318,-5.039191,0.234054,0.308146,-0.263624,0.016788,0.256492,-0.316375,0.000000,2.196458,4.484648,0.148459,-0.452628,-0.679725,1.132734,0.797946,-1.034322,-0.494882,0.364551,0.376530,-0.381085,-0.269189,-0.151107,0.000000,-0.115298,0.000001,0.072982,0.000000,-0.000000
-2.117708,-4.142028,0.204167,0.248101,-0.103819,-0.056504,0.240443,-0.038649,0.000000,1.949847,4.026210,0.084542,-0.531175,-0.610974,0.838178,0.801025,-0.881733,-0.532812,0.303469,0.362508,-0.345024,-0.258425,-0.225350,0.000000,-0.108314,0.000001,0.039868,0.000000,0.000000
-2.162281,-2.512269,0.219408,0.119467,-0.169457,-0.261187,0.383987,0.181948,0.000000,1.822305,2.473235,0.087818,-0.584608,-0.631103,0.220743,0.921288,-1.031394,-0.814837,0.212447,0.368069,-0.364532,-0.284415,-0.342390,0.000000,-0.078644,0.000000,-0.000132,-0.000000,0.000000
-2.186748,-0.964805,0.272156,-0.013437,-0.427719,-0.494917,0.615351,0.235117,0.000000,1.877600,0.602224,0.156647,-0.586210,-0.730048,-0.410847,1.098600,-1.408474,-1.199941,0.136998,0.390433,-0.429852,-0.334159,-0.443706,0.000000,-0.041125,0.000001,-0.027017,0.000000,-0.000000
-1.941566,-0.413650,0.132868,-0.107017,-0.350735,-0.545986,0.440782,0.311626,-0.161681,1.910448,-0.433615,0.231025,-0.368715,-0.802289,0.094479,1.130415,-1.386258,-1.185336,0.178281,0.403084,-0.453125,-0.271100,-0.372991,0.000000,-0.014309,0.000000,0.002901,-0.000000,0.000000
