joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.862243,-1.098609,0.028012,-0.018088,-0.040893,0.001356,0.017449,-0.029611,0.501614,1.331907,1.515457,-0.288903,-0.368103,-0.729429,-0.476283,0.588160,-0.684004,-0.004638,-0.073675,0.605766,-0.381035,1.091904,1.177061,0.199797,-0.100000,0.283938,0.147301,0.050000,-0.050000
-0.891223,-1.120944,0.030241,-0.017543,-0.044844,0.000174,0.015197,-0.031057,0.494508,1.347583,1.517365,-0.281518,-0.367796,-0.725310,-0.468952,0.606767,-0.705371,-0.029880,-0.060977,0.611683,-0.389116,1.087728,1.175782,0.199848,-0.100000,0.285593,0.148831,0.050000,-0.050000
-0.926367,-1.141620,0.034946,-0.015754,-0.048371,0.000104,0.011296,-0.035392,0.486700,1.350347,1.500424,-0.267846,-0.357735,-0.661867,-0.442981,0.624739,-0.729641,-0.039641,-0.048121,0.620854,-0.401000,1.093885,1.184706,0.200000,-0.100000,0.294098,0.154885,0.050000,-0.050000
-0.966142,-1.171152,0.032335,-0.018921,-0.058942,-0.002524,0.009560,-0.038794,0.483735,1.381973,1.515445,-0.277211,-0.365795,-0.655268,-0.441972,0.638356,-0.746877,-0.046211,-0.039492,0.626108,-0.410010,1.090769,1.182256,0.200000,-0.100000,0.297639,0.156909,0.050000,-0.050000
-1.005876,-1.201319,0.029201,-0.023823,-0.070919,-0.005118,0.008372,-0.041172,0.479568,1.411509,1.531328,-0.287206,-0.373401,-0.646773,-0.442803,0.651066,-0.763797,-0.052571,-0.031925,0.630957,-0.418966,1.087630,1.179767,0.200000,-0.100000,0.300000,0.158971,0.050000,-0.050000
-1.045528,-1.232756,0.025017,-0.032196,-0.085707,-0.007642,0.008280,-0.041503,0.472994,1.436866,1.548934,-0.298459,-0.380099,-0.634488,-0.447314,0.661961,-0.780082,-0.058509,-0.026486,0.635000,-0.427816,1.084445,1.177200,0.200000,-0.100000,0.300000,0.161107,0.050000,-0.050000
-1.082045,-1.270934,0.020797,-0.039248,-0.098203,-0.008109,0.006688,-0.041534,0.467044,1.458326,1.580379,-0.310911,-0.386887,-0.621098,-0.452078,0.669455,-0.793249,-0.063801,-0.021467,0.638244,-0.436122,1.080907,1.174302,0.200000,-0.100000,0.300000,0.163081,0.050000,-0.050000
-1.116995,-1.312481,0.016559,-0.045639,-0.109553,-0.007548,0.004347,-0.041416,0.461405,1.477839,1.618743,-0.323961,-0.393720,-0.607156,-0.456969,0.675248,-0.804857,-0.068770,-0.016659,0.641088,-0.444156,1.077193,1.171237,0.200000,-0.100000,0.300000,0.164974,0.050000,-0.050000
-1.147917,-1.352202,0.010628,-0.058090,-0.122976,-0.008986,0.004026,-0.034669,0.453690,1.487797,1.657604,-0.340235,-0.397211,-0.591034,-0.471830,0.676682,-0.810826,-0.072047,-0.013244,0.642426,-0.451327,1.072492,1.168998,0.200000,-0.100000,0.300000,0.167090,0.050000,-0.050000
-1.179102,-1.387816,0.003584,-0.072218,-0.137587,-0.010867,0.003503,-0.028450,0.443201,1.499129,1.691275,-0.356154,-0.397814,-0.577032,-0.485432,0.677991,-0.815840,-0.075457,-0.009154,0.643788,-0.458472,1.068635,1.168079,0.200000,-0.100000,0.300000,0.169727,0.050000,-0.050000
