body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-1.315169,-0.201519,0.809010,-1.432281,-0.206592,0.676558,-1.449478,-0.181526,0.371863,-1.360230,-0.479712,0.430293,-1.200307,-0.185824,0.675414,-1.207945,-0.163410,0.370178,-1.208031,-0.460971,0.470816,-1.315177,-0.207066,0.862861,-1.466825,-0.171472,1.089562,-1.502390,-0.101608,0.922669,-1.495717,0.058596,0.833510,-1.187803,-0.147465,1.099325,-1.170345,-0.073031,0.931651,-1.227342,0.068756,0.830105
-1.315216,-0.202312,0.808999,-1.432165,-0.207665,0.676417,-1.449403,-0.181829,0.371794,-1.360754,-0.480072,0.430694,-1.200252,-0.186216,0.675539,-1.207905,-0.163915,0.370293,-1.208306,-0.461444,0.470973,-1.315259,-0.207869,0.862849,-1.467270,-0.171584,1.089204,-1.502838,-0.102493,0.921991,-1.496275,0.057393,0.832255,-1.188333,-0.146674,1.099138,-1.170888,-0.073293,0.930998,-1.227856,0.067732,0.828381
-1.315317,-0.202670,0.809163,-1.432076,-0.208181,0.676421,-1.449165,-0.182267,0.371800,-1.361236,-0.480532,0.431548,-1.200214,-0.186180,0.675868,-1.207806,-0.164189,0.370596,-1.208656,-0.461597,0.471581,-1.315397,-0.208291,0.863007,-1.467640,-0.171983,1.089190,-1.503265,-0.103672,0.921669,-1.496917,0.055831,0.831239,-1.188758,-0.146384,1.099241,-1.171392,-0.073977,0.930670,-1.228330,0.066377,0.827121
-1.315444,-0.202812,0.809415,-1.432002,-0.208418,0.676497,-1.448840,-0.182771,0.371844,-1.361696,-0.481038,0.432627,-1.200186,-0.185929,0.676300,-1.207676,-0.164346,0.370995,-1.209045,-0.461588,0.472414,-1.315563,-0.208524,0.863250,-1.467970,-0.172524,1.089349,-1.503679,-0.104999,0.921528,-1.497596,0.054085,0.830347,-1.189129,-0.146342,1.099491,-1.171875,-0.074872,0.930509,-1.228781,0.064855,0.826098
-1.315627,-0.202411,0.810012,-1.432051,-0.207862,0.676962,-1.448448,-0.183147,0.372210,-1.362149,-0.481537,0.433547,-1.200251,-0.185211,0.677036,-1.207622,-0.164497,0.371666,-1.209354,-0.461700,0.473169,-1.315768,-0.208290,0.863829,-1.468081,-0.173426,1.090125,-1.504042,-0.106496,0.922122,-1.498237,0.052151,0.830163,-1.189212,-0.147229,1.100248,-1.172115,-0.076539,0.930922,-1.228975,0.062843,0.826025
-1.315756,-0.201741,0.810510,-1.432069,-0.206962,0.677345,-1.448060,-0.183446,0.372480,-1.362612,-0.481993,0.434219,-1.200274,-0.184258,0.677657,-1.207560,-0.164623,0.372213,-1.209636,-0.461794,0.473780,-1.315917,-0.207810,0.864306,-1.468114,-0.174332,1.090839,-1.504314,-0.107916,0.922684,-1.498757,0.050288,0.829950,-1.189197,-0.148316,1.100983,-1.172232,-0.078337,0.931348,-1.229021,0.060810,0.826103
-1.315776,-0.200532,0.810808,-1.432024,-0.205372,0.677565,-1.447685,-0.183595,0.372554,-1.363096,-0.482368,0.434401,-1.200213,-0.182837,0.678048,-1.207491,-0.164697,0.372511,-1.209865,-0.461854,0.474103,-1.315956,-0.206839,0.864577,-1.467998,-0.175245,1.091423,-1.504409,-0.109183,0.923175,-1.499042,0.048575,0.829674,-1.188993,-0.149806,1.101666,-1.172107,-0.080396,0.931790,-1.228778,0.058741,0.826468
-1.316090,-0.198849,0.810964,-1.432345,-0.203073,0.677698,-1.447485,-0.183300,0.372525,-1.363588,-0.482234,0.434558,-1.200498,-0.180916,0.678258,-1.207640,-0.164572,0.372617,-1.210309,-0.461633,0.474478,-1.316241,-0.205475,0.864695,-1.467595,-0.176204,1.092238,-1.504397,-0.110414,0.923969,-1.499245,0.046794,0.829535,-1.188440,-0.151785,1.102047,-1.171875,-0.082724,0.931998,-1.228512,0.056691,0.827026
-1.316552,-0.196928,0.811049,-1.432849,-0.200418,0.677795,-1.447382,-0.182788,0.372461,-1.364092,-0.481849,0.434718,-1.200956,-0.178746,0.678380,-1.207909,-0.164350,0.372638,-1.210868,-0.461272,0.474889,-1.316650,-0.203916,0.864735,-1.467058,-0.177201,1.093140,-1.504343,-0.111641,0.924889,-1.499432,0.044965,0.829447,-1.187728,-0.154017,1.102238,-1.171619,-0.085189,0.932053,-1.228268,0.054649,0.827651
-1.316846,-0.193689,0.811964,-1.433228,-0.196747,0.678776,-1.446859,-0.183090,0.373196,-1.364558,-0.482081,0.436982,-1.201285,-0.175617,0.679256,-1.208137,-0.164447,0.373378,-1.211463,-0.461139,0.476297,-1.316940,-0.200953,0.865614,-1.467091,-0.177941,1.094494,-1.504111,-0.112582,0.926107,-1.499265,0.043319,0.829514,-1.187621,-0.155890,1.103786,-1.171412,-0.086967,0.933652,-1.227607,0.052927,0.829080
