joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.046790,0.043726,-0.012472,-0.017123,-0.009815,-0.004410,0.021800,0.000677,-0.081411,-0.028726,-0.024039,0.011631,0.021180,0.002123,-0.004023,-0.003384,-0.059287,-0.010019,-0.017959,0.015336,-0.033540,-0.008363,-0.043285,-0.000111,-0.003013,0.000000,0.000000,-0.000001,-0.000001
0.035806,0.040474,-0.006039,-0.012891,-0.016558,0.000923,0.022819,-0.003738,-0.074260,-0.019282,-0.020021,-0.005335,0.006129,0.000331,0.006425,-0.007015,-0.060535,-0.010858,-0.019030,0.012846,-0.037421,-0.013691,-0.030850,-0.000213,-0.003257,0.000000,0.000000,-0.000001,-0.000001
0.025576,0.034546,0.000553,-0.008664,-0.019072,0.002415,0.020782,-0.008697,-0.067203,-0.012162,-0.016955,-0.019703,-0.010233,-0.001200,0.014126,-0.007715,-0.056039,-0.011454,-0.020332,0.011881,-0.039324,-0.017475,-0.019388,-0.000152,-0.003280,0.000000,0.000000,-0.000000,-0.000000
0.021139,0.026387,0.006963,-0.005242,-0.014637,0.001902,0.017220,-0.015863,-0.060260,-0.007316,-0.016260,-0.024852,-0.018077,-0.003218,0.005385,-0.006078,-0.049023,-0.011437,-0.018576,0.013305,-0.038401,-0.022636,-0.008802,-0.000079,-0.002970,0.000000,0.000000,0.000000,0.000000
0.015943,0.019348,0.011129,-0.001879,-0.008973,0.000158,0.013294,-0.017840,-0.052008,-0.003812,-0.023291,-0.026500,-0.025800,-0.005753,0.000337,-0.003488,-0.035599,-0.011249,-0.017790,0.013566,-0.032659,-0.023098,-0.001898,-0.000023,-0.002080,0.000000,0.000000,0.000000,0.000000
0.012590,0.016952,0.010965,-0.000258,-0.004915,-0.001945,0.010969,-0.013635,-0.046578,-0.003409,-0.034526,-0.023820,-0.029536,-0.007536,0.001505,-0.001240,-0.022481,-0.010985,-0.018368,0.012534,-0.024970,-0.018623,-0.002140,-0.000013,-0.001056,0.000000,0.000000,0.000000,0.000000
0.010648,0.014575,0.008129,0.004023,-0.001974,-0.002349,0.006637,-0.010297,-0.039385,-0.009510,-0.034863,-0.018010,-0.027046,-0.006439,0.002165,0.000853,-0.008706,-0.008987,-0.018619,0.013620,-0.017288,-0.010450,-0.003032,0.000077,-0.000085,0.000000,0.000000,0.000000,0.000000
0.008192,0.012672,0.004803,0.008351,-0.000423,-0.001680,0.003048,-0.007889,-0.032385,-0.018883,-0.034305,-0.012876,-0.022542,-0.005157,0.002724,0.003035,0.004429,-0.006719,-0.018853,0.014857,-0.010019,-0.001413,-0.006025,0.000153,0.000779,0.000000,0.000000,0.000000,0.000000
0.003306,0.011703,0.003176,0.010104,-0.000541,-0.000563,0.002963,-0.006481,-0.027551,-0.028294,-0.042859,-0.012238,-0.020246,-0.006391,0.003584,0.005540,0.015605,-0.005649,-0.019379,0.014278,-0.003587,0.005639,-0.012569,0.000126,0.001479,0.000000,0.000000,0.000000,0.000001
-0.002837,0.008614,0.000083,0.009310,0.001341,-0.001277,0.001857,-0.000869,-0.020666,-0.036010,-0.054270,-0.012778,-0.016615,-0.006825,0.009106,0.008168,0.025548,-0.005413,-0.021905,0.015340,0.000748,0.010033,-0.022849,0.000130,0.001795,0.000000,0.000000,0.000001,0.000001
-0.007167,0.004948,-0.002930,0.006365,0.004282,-0.003467,0.000283,0.006146,-0.015170,-0.038183,-0.062829,-0.014225,-0.013461,-0.006241,0.016534,0.009609,0.029290,-0.006131,-0.025168,0.017516,0.000820,0.009575,-0.031729,0.000165,0.001570,0.000000,0.000000,0.000001,0.000001
-0.007653,0.000205,-0.001577,0.004610,0.005232,-0.001467,-0.002529,0.002708,-0.006603,-0.023556,-0.053957,-0.012030,-0.008380,-0.005525,0.015698,0.006279,0.032206,-0.006351,-0.026789,0.015090,0.002040,0.006428,-0.035661,-0.000022,0.001618,0.000000,0.000000,-0.000000,-0.000000
-0.005991,-0.001679,0.002293,0.003643,0.006748,0.001688,-0.005897,-0.005332,-0.000303,-0.003392,-0.036240,-0.008405,-0.002469,-0.004432,0.012079,0.002442,0.032506,-0.005763,-0.027193,0.010880,0.003675,0.003280,-0.034691,-0.000224,0.001851,0.000000,0.000000,-0.000001,-0.000001
-0.003880,0.003226,0.006831,0.003060,0.011393,0.002962,-0.009141,-0.012122,-0.001598,0.011033,-0.018272,-0.005574,0.003181,-0.002716,0.011174,0.002361,0.028415,-0.004064,-0.026819,0.007704,0.004989,0.002827,-0.028886,-0.000233,0.002183,0.000000,0.000000,-0.000001,-0.000001
-0.000737,0.009604,0.011208,0.009059,0.016943,0.004166,-0.008242,-0.025902,-0.004981,0.026351,0.010026,-0.001945,0.009694,0.002499,0.002964,-0.001169,0.023853,-0.002623,-0.023940,0.003926,0.007685,0.000983,-0.019796,-0.000202,0.002792,0.000000,0.000000,-0.000000,-0.000000
0.001867,0.014269,0.013238,0.018645,0.020628,0.004699,-0.003649,-0.039791,-0.008764,0.034916,0.034529,0.000668,0.013817,0.008613,-0.008453,-0.006386,0.021098,-0.002160,-0.019995,0.001436,0.010417,-0.001334,-0.011963,-0.000148,0.003372,0.000000,0.000000,0.000000,0.000000
0.005925,0.019066,0.013287,0.023544,0.013906,0.009531,0.005974,-0.047543,-0.012512,0.053090,0.053570,0.006044,0.015791,0.008095,-0.009358,-0.010463,0.019075,-0.004409,-0.017935,-0.002452,0.010718,-0.004660,-0.002049,-0.000121,0.003635,0.000000,0.000000,-0.000000,0.000000
0.012659,0.023275,0.015747,0.024967,0.006408,0.020347,0.015761,-0.053902,-0.013505,0.074035,0.073767,0.012037,0.016235,0.004560,-0.013080,-0.015178,0.019044,-0.007100,-0.016805,-0.007385,0.010657,-0.008287,0.019141,-0.000110,0.004058,0.000000,0.000000,-0.000001,-0.000000
0.023311,0.026189,0.025035,0.024139,0.007780,0.038865,0.020856,-0.063658,-0.009021,0.090981,0.101820,0.016513,0.015783,0.001621,-0.032988,-0.022327,0.022287,-0.007971,-0.015663,-0.013020,0.012311,-0.011520,0.060861,-0.000110,0.005125,0.000000,0.000000,-0.000000,0.000000
0.022472,0.020515,0.022074,0.028318,0.003192,0.039408,0.030792,-0.063529,-0.001266,0.107548,0.112790,0.016382,0.005347,-0.003695,-0.038162,-0.020763,0.025868,-0.010184,-0.014169,-0.014051,0.011190,-0.012417,0.072049,-0.000052,0.005212,0.000000,0.000000,0.000000,0.000001
0.010546,0.009080,0.008331,0.035408,-0.005068,0.021677,0.040588,-0.053551,0.005881,0.115409,0.101137,0.011697,-0.009858,-0.008728,-0.025988,-0.011254,0.027988,-0.012631,-0.013066,-0.009954,0.007851,-0.010522,0.047053,0.000035,0.004276,0.000000,0.000000,0.000000,0.000000
-0.003010,-0.011626,-0.003847,0.040470,-0.003250,0.015883,0.050136,-0.053164,0.021341,0.102243,0.093186,0.007988,-0.021527,-0.006462,-0.031674,-0.001618,0.024647,-0.016713,-0.011629,-0.010733,0.008429,-0.003096,0.020921,0.000011,0.003953,0.000000,0.000000,0.000000,-0.000000
-0.015710,-0.035504,-0.011310,0.041102,-0.000320,0.018935,0.054089,-0.053309,0.038762,0.078818,0.086543,0.002683,-0.030564,-0.001138,-0.046092,0.004148,0.017563,-0.020228,-0.009707,-0.013246,0.011890,0.001860,-0.001732,-0.000043,0.004162,0.000000,0.000000,-0.000001,-0.000000
-0.025071,-0.056447,-0.010915,0.034884,-0.005249,0.027718,0.047072,-0.044884,0.051772,0.055867,0.078753,-0.006793,-0.037869,0.002995,-0.060079,0.002053,0.008442,-0.020958,-0.007140,-0.014339,0.017191,-0.003657,-0.016317,-0.000051,0.004818,0.000000,0.000000,-0.000000,-0.000000
-0.045237,-0.096034,-0.005044,0.027594,-0.006036,0.039636,0.037471,-0.026218,0.074322,0.037545,0.066495,-0.015411,-0.051708,0.012153,-0.077432,0.002569,-0.008040,-0.021130,-0.004183,-0.017999,0.024436,-0.016458,-0.037855,-0.000066,0.005748,0.000000,0.000000,-0.000000,-0.000000
-0.066173,-0.134564,0.003372,0.022887,-0.002282,0.048757,0.030103,-0.006638,0.095199,0.033027,0.055912,-0.018871,-0.065202,0.021774,-0.089529,0.005445,-0.023662,-0.020670,-0.002313,-0.022410,0.030018,-0.030163,-0.055620,-0.000081,0.006490,0.000000,0.000000,-0.000001,-0.000000
